name,ea,size,callers_n,callees_n,ctrl_hit,phys_hit,binary
FUN_00007420,29728,3688,0,0,0,1,MNU.BIN
FUN_00007420,29728,3688,0,0,0,1,MNU.BIN
FUN_000031d8,12760,2492,0,0,0,1,MNU.BIN
FUN_000031d8,12760,2492,0,0,0,1,MNU.BIN
FUN_00001948,6472,344,0,0,0,1,MNU.BIN
FUN_00001948,6472,344,0,0,0,1,MNU.BIN
FUN_00001868,6248,96,0,0,0,1,MNU.BIN
FUN_00001868,6248,96,0,0,0,1,MNU.BIN
FUN_00004328,17192,4168,0,0,0,0,MNU.BIN
FUN_00004328,17192,4168,0,0,0,0,MNU.BIN
FUN_00005954,22868,3924,0,0,0,0,MNU.BIN
FUN_00005954,22868,3924,0,0,0,0,MNU.BIN
FUN_0000976c,38764,2204,0,0,0,0,MNU.BIN
FUN_0000976c,38764,2204,0,0,0,0,MNU.BIN
FUN_00002160,8544,1912,0,0,0,0,MNU.BIN
FUN_00002160,8544,1912,0,0,0,0,MNU.BIN
FUN_0000a654,42580,1584,0,0,0,0,MNU.BIN
FUN_0000a654,42580,1584,0,0,0,0,MNU.BIN
FUN_0000293c,10556,1444,0,0,0,0,MNU.BIN
FUN_0000293c,10556,1444,0,0,0,0,MNU.BIN
FUN_00003dc0,15808,1384,0,0,0,0,MNU.BIN
FUN_00003dc0,15808,1384,0,0,0,0,MNU.BIN
FUN_00001b68,7016,996,0,0,0,0,MNU.BIN
FUN_00001b68,7016,996,0,0,0,0,MNU.BIN
FUN_00001430,5168,980,0,0,0,0,MNU.BIN
FUN_00001430,5168,980,0,0,0,0,MNU.BIN
FUN_00000428,1064,816,0,0,0,0,MNU.BIN
FUN_00000428,1064,816,0,0,0,0,MNU.BIN
FUN_00005448,21576,688,0,0,0,0,MNU.BIN
FUN_00005448,21576,688,0,0,0,0,MNU.BIN
FUN_00008a1c,35356,636,0,0,0,0,MNU.BIN
FUN_00008a1c,35356,636,0,0,0,0,MNU.BIN
FUN_00000a2c,2604,632,0,0,0,0,MNU.BIN
FUN_00000a2c,2604,632,0,0,0,0,MNU.BIN
FUN_0000a110,41232,612,0,0,0,0,MNU.BIN
FUN_0000a110,41232,612,0,0,0,0,MNU.BIN
FUN_000056f8,22264,604,0,0,0,0,MNU.BIN
FUN_00007054,28756,604,0,0,0,0,MNU.BIN
FUN_000056f8,22264,604,0,0,0,0,MNU.BIN
FUN_00007054,28756,604,0,0,0,0,MNU.BIN
FUN_00008804,34820,536,0,0,0,0,MNU.BIN
FUN_00008804,34820,536,0,0,0,0,MNU.BIN
FUN_00001f4c,8012,532,0,0,0,0,MNU.BIN
FUN_00001f4c,8012,532,0,0,0,0,MNU.BIN
FUN_000010cc,4300,444,0,0,0,0,MNU.BIN
FUN_000090a0,37024,444,0,0,0,0,MNU.BIN
FUN_000010cc,4300,444,0,0,0,0,MNU.BIN
FUN_000090a0,37024,444,0,0,0,0,MNU.BIN
FUN_00000f30,3888,412,0,0,0,0,MNU.BIN
FUN_00000f30,3888,412,0,0,0,0,MNU.BIN
